x,y
6,0.2431310508739362
10,0.8120194004322014
14,1.1435020941744392
18,1.1833130289789762
22,1.299205399845867
26,1.2265915560785843
30,1.1180957121192983
34,1.0550090781134267
38,1.043400594997444
42,0.9297208037108553
46,1.0153050109957367
50,1.0204279448185478
54,0.973178560233526
58,1.0114481064544905
62,0.9615144908345676
66,0.9554327762588235
70,0.9848844470629456
74,0.9859295827252367
78,1.0055418739492128
82,1.0209298113529173
86,1.0042365358960512
90,0.9848849552252555
94,0.9991283666284214
98,1.0078457558244347
