x,y,yerr
6,0.3034564372074581,0.0734314
10,0.9233826422339539,0.0774355
14,1.122646859870376,0.0469703
18,1.3012047696388722,0.0416475
22,1.3011497690656204,0.0356508
26,1.2028568487619988,0.0301997
30,1.1088516879713375,0.02272
34,1.087590598639385,0.0211228
38,1.0381445413056,0.0212166
42,0.9660402092173085,0.0199063
46,1.029744012736258,0.0164109
50,0.9990656340714883,0.0148605
54,0.9707166047075301,0.0150023
58,0.9945333663276291,0.0143102
62,0.9759727632854627,0.0132315
66,0.9823516694276919,0.0129667
70,0.9950626973523181,0.0136335
74,0.9682263499153836,0.013766
78,0.9939386067719217,0.0125239
82,1.0065721139064063,0.0133627
86,1.006090875904743,0.0129539
90,0.9860122855724616,0.0132023
94,1.0014276420738892,0.0116654
98,0.9714084299055382,0.0125372
