x,y
2.0,0.2065566464200143
6.0,0.4080099029893727
10.0,0.8255251972144972
14.0,1.1635421029008357
18.0,1.3119986869408025
22.0,1.303835818235191
26.0,1.2252313429895887
30.0,1.139927938155846
34.0,1.0738841657572218
38.0,1.0304841157441595
42.0,1.004914487208548
46.0,0.9912209076392122
50.0,0.9846732858035618
54.0,0.9821091590044126
58.0,0.9816227285839969
62.0,0.9821512541982536
66.0,0.9831386122102993
70.0,0.9843079879813156
74.0,0.9855256434361844
78.0,0.9867266248473785
82.0,0.9878779772936116
86.0,0.9889619590558167
90.0,0.9899689952809949
94.0,0.9908947267884294
98.0,0.9917385369605274
